GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1249691523	20240614	202406	2024	2024.4493	GOV	PRINCE						GOV			USA	CHARLOTTE	USA								1	042	042	04	1	1.9	10	1	10	2.79720279720279	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	4	Wellington, New Zealand (general), New Zealand	NZ	NZ00	22391	-41.3	174.783	-1521348	20250614141500	https://www.the-independent.com/life-style/royal-family/king-trooping-colour-parade-livestream-b2770107.html
1249691524	20240614	202406	2024	2024.4493	LEG	PARLIAMENT						LEG													1	017	017	01	1	0.0	6	1	6	-4.56852791878172	1	Pakistan	PK	PK		30	70	PK	0								1	Pakistan	PK	PK		30	70	PK	20250614141500	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/mp-slams-sickening-crimes-rochdale-31857604
1249691525	20240614	202406	2024	2024.4493	PAK	PAKISTAN	PAK								LEG	PARLIAMENT						LEG			1	017	017	01	1	0.0	4	1	4	-4.56852791878172	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20250614141500	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/mp-slams-sickening-crimes-rochdale-31857604
1249691526	20250515	202505	2025	2025.3699	IRL	IRISH	IRL																		0	172	172	17	4	-5.0	5	1	5	-9.45674044265591	1	Ireland	EI	EI		53	-8	EI	0								1	Ireland	EI	EI		53	-8	EI	20250614141500	https://www.dailyrecord.co.uk/news/scottish-news/liverpool-cops-release-new-statement-35392956
1249691527	20250607	202506	2025	2025.4301	GBR	UNITED KINGDOM	GBR																		0	180	180	18	4	-9.0	16	2	16	-10.7872165740838	4	Ballymena, Ballymena, United Kingdom	UK	UKQ9	40144	54.8667	-6.26667	-2589101	0								4	Ballymena, Ballymena, United Kingdom	UK	UKQ9	40144	54.8667	-6.26667	-2589101	20250614141500	https://www.belfasttelegraph.co.uk/news/northern-ireland/northern-ireland-one-petrol-bomb-away-from-a-racist-murder-belfast-rally-hears/a325684973.html
1249691528	20250613	202506	2025	2025.4466	CAN	CANADA	CAN																		1	055	055	05	1	7.0	4	1	4	-4.22535211267606	1	Canada	CA	CA		60	-96	CA	0								1	Canada	CA	CA		60	-96	CA	20250614141500	https://order-order.com/2025/06/14/exc-starmer-will-miss-explosive-rape-gang-review-publication-by-hiding-in-canada/
1249691529	20250613	202506	2025	2025.4466	COP	DEPUTY						COP			GOV	MINIST						GOV			0	040	040	04	1	1.0	10	1	10	-4.99108734402852	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20250614141500	https://www.independent.ie/irish-news/taoiseach-condemns-violence-in-ballymena-as-campaigners-say-were-one-petrol-bomb-away-from-racially-motivated-murder/a638424448.html
1249691530	20250613	202506	2025	2025.4466	GOV	MINIST						GOV			COP	DEPUTY						COP			0	040	040	04	1	1.0	2	1	2	-4.99108734402852	4	Armagh, Armagh, United Kingdom	UK	UKQ8	18300	54.35	-6.66667	-2588529	4	Armagh, Armagh, United Kingdom	UK	UKQ8	18300	54.35	-6.66667	-2588529	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20250614141500	https://www.independent.ie/irish-news/taoiseach-condemns-violence-in-ballymena-as-campaigners-say-were-one-petrol-bomb-away-from-racially-motivated-murder/a638424448.html
1249691531	20250613	202506	2025	2025.4466	GOV	MINIST						GOV			COP	DEPUTY						COP			0	040	040	04	1	1.0	8	1	8	-4.99108734402852	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	4	Northern Ireland, Craigavon, United Kingdom	UK	UKR8	40152	54.5	-6.5	-2604275	20250614141500	https://www.independent.ie/irish-news/taoiseach-condemns-violence-in-ballymena-as-campaigners-say-were-one-petrol-bomb-away-from-racially-motivated-murder/a638424448.html
1249691532	20250614	202506	2025	2025.4493											AFR	AFRICA	AFR								1	020	020	02	1	3.0	3	1	3	-0.57636887608069	0								1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20250614141500	https://www.inforum.com/news/moorhead/boxed-in-by-construction-moorhead-businesses-hold-out-hope-for-revamped-downtown
1249691533	20250614	202506	2025	2025.4493											BUS	BUSINESS						BUS			1	051	051	05	1	3.4	9	1	9	1.46137787056367	0								4	Muckamore, Antrim, United Kingdom	UK	UKQ6	40141	54.6833	-6.15	-2603588	4	Muckamore, Antrim, United Kingdom	UK	UKQ6	40141	54.6833	-6.15	-2603588	20250614141500	https://www.agriland.ie/farming-news/us-tariffs-sap-strength-of-global-wool-markets-ulster-wool-group/
